Wind_Elec_TWh,Hydro_Elec_TWh,Solar_Elec_TWh,Other_Renew_Elec_TWh,Other_Renew_Gen_TWh,Solar_Gen_TWh,Wind_Gen_TWh,Hydro_Gen_TWh,Renew_Elec_Pct,Renew_Energy_Pct,Hydro_Energy_Pct,Solar_Energy_Pct,Wind_Energy_Pct,Hydro_Elec_Pct,Solar_Elec_Pct,Wind_Elec_Pct,Prim_Energy_Cons_TWh,Prim_Energy_Cons_Capita,Annual_Change_Cons_Pct,Elec_Gen_TWh,Elec_Capita_kWh,GDP
0,51.813,0,0,0,0,0,51.813,27.799,9.671,9.671,0,0,27.799,0,0,1584.263,2030.476,5.553,186.386,238.882,233
0,52.569,0,0,0,0,0,52.569,25.937,9.168,9.168,0,0,25.937,0,0,1695.591,2125.122,7.027,202.677,254.02,249
0,48.963,0,0,0,0,0,48.963,21.891,8.031,8.031,0,0,21.891,0,0,1802.853,2210.148,6.326,223.67,274.2,279
0,54.615,0,0,0,0,0,54.615,22.633,8.23,8.23,0,0,22.633,0,0,1962.301,2353.642,8.844,241.305,289.428,297
0,63.37,0,0,0,0,0,63.37,23.26,8.742,8.742,0,0,23.26,0,0,2143.414,2515.706,9.23,272.446,319.768,296
0.03,66.397,0,0.038,0.038,0,0.03,66.397,23.097,8.543,8.534,0,0.004,23.074,0,0.011,2300.701,2643.11,7.338,287.763,330.59,321
0.113,73.919,0,0.095,0.095,0,0.113,73.919,23.132,9.03,9.004,0,0.014,23.067,0,0.035,2427.663,2730.958,5.518,320.458,360.493,270
0.088,70.061,0,0.119,0.119,0,0.088,70.061,20.842,8.141,8.115,0,0.01,20.78,0,0.026,2552.772,2812.742,5.153,337.153,371.488,288
0.095,70.732,0,0.252,0.252,0,0.095,70.732,19.626,8.036,7.994,0,0.011,19.53,0,0.026,2616.248,2824.25,2.487,362.176,390.971,279
0.191,80.212,0,0.38,0.38,0,0.191,80.212,20.822,8.667,8.603,0,0.021,20.675,0,0.049,2757.121,2916.78,5.385,387.967,410.433,327
0.496,75.921,0.001,0.564,0.564,0.001,0.496,75.921,18.022,7.687,7.576,0,0.05,17.774,0,0.116,2963.118,3072.884,7.471,427.149,442.972,360
0.878,69.058,0.006,0.756,0.756,0.006,0.878,69.058,15.952,6.79,6.626,0.001,0.084,15.581,0.001,0.198,3081.631,3134.029,4,443.205,450.741,393
0.988,70.211,0.006,0.982,0.982,0.006,0.988,70.211,15.387,6.571,6.384,0.001,0.09,14.965,0.001,0.211,3252.01,3244.433,5.529,469.154,468.061,416
1.079,83.633,0.006,1.293,1.293,0.006,1.079,83.633,17.029,7.382,7.169,0.001,0.092,16.558,0.001,0.214,3449.497,3377.11,6.073,505.078,494.479,421
1.446,82.249,0.006,1.686,1.686,0.006,1.446,82.249,15.6,7.131,6.858,0.001,0.121,15.027,0.001,0.264,3546.363,3408.325,2.808,547.362,526.057,459
1.58,76.99,0.01,1.686,1.686,0.007,1.582,76.99,14.048,6.398,6.111,0.001,0.126,13.474,0.002,0.277,3725.401,3515.744,5.049,571.39,539.234,468
2.09,72.02,0.01,2.069,2.069,0.011,2.085,72.023,13,6.023,5.656,0.001,0.164,12.288,0.002,0.357,3740.874,3467.075,0.415,586.09,543.194,485
2.09,68.54,0.01,2.14,2.14,0.013,2.085,68.545,11.938,5.529,5.169,0.001,0.157,11.243,0.002,0.343,3870.808,3524.322,3.473,609.64,555.069,515
2.6,69.3,0.02,2.713,2.713,0.016,2.604,69.296,11.695,5.445,5.013,0.001,0.188,10.86,0.003,0.407,4008.71,3587.485,3.563,638.13,571.077,608
5.23,100.64,0.02,3.314,3.314,0.018,5.225,100.636,15.638,7.278,6.663,0.001,0.346,14.412,0.003,0.749,4352.651,3830.667,8.58,698.32,614.575,709
5.99,97.42,0.02,4.035,4.035,0.018,5.991,97.42,15.254,6.731,6.053,0.001,0.372,13.828,0.003,0.85,4608.417,3991.22,5.876,704.52,610.165,820
9.34,112.62,0.01,5.587,5.587,0.007,9.337,112.617,17.135,7.54,6.6,0,0.547,15.128,0.001,1.255,4854.867,4141.057,5.348,744.43,634.977,940
11.68,122.61,0.06,7.403,7.403,0.059,11.683,122.613,17.802,7.681,6.58,0.003,0.627,15.398,0.008,1.467,5268.96,4428.845,8.529,796.26,669.299,1220
14.38,115.17,0.06,9.302,9.302,0.063,14.378,115.169,16.768,7.093,5.803,0.003,0.725,13.903,0.007,1.736,5576.529,4621.171,5.837,828.41,686.489,1200
16.27,106.34,0.08,11.642,11.642,0.075,16.271,106.338,15.27,6.353,4.956,0.003,0.758,12.088,0.009,1.849,5991.852,4896.744,7.448,879.71,718.929,1340
19.46,108.74,0.11,14.295,14.295,0.113,19.456,108.744,15.212,6.451,4.828,0.005,0.864,11.599,0.012,2.076,6251.326,5038.898,4.33,937.47,755.65,1680
23.95,131.7,0.83,17.137,17.137,0.827,23.952,131.705,16.791,7.426,5.511,0.035,1.002,12.737,0.08,2.316,6592.371,5241.936,5.456,1034,822.187,1820
27.43,115.78,2.1,19.936,19.936,2.099,27.433,115.776,15.135,6.692,4.569,0.083,1.082,10.604,0.192,2.512,6948.685,5452.142,5.405,1091.84,856.69,1830
30.01,131.98,3.43,22.478,22.478,3.433,30.007,131.983,16.394,7.328,5.011,0.13,1.139,11.515,0.299,2.618,7178.72,5560.02,3.31,1146.14,887.702,1860
33.45,139,4.91,24.676,24.676,4.909,33.455,138.996,16.007,7.336,4.913,0.174,1.183,11.012,0.389,2.65,7664.003,5862.708,6.76,1262.22,965.556,2040
32.74,133.28,6.57,30.617,30.617,6.566,32.741,133.283,15.37,7.139,4.526,0.223,1.112,10.081,0.497,2.476,7929.679,5994.315,3.467,1322.1,999.42,2100
43.45,128.38,11.56,24.817,24.817,11.556,43.453,128.382,14.854,6.974,4.148,0.373,1.404,9.159,0.825,3.1,8284.972,6189.113,4.481,1401.74,1047.14,2290
52.63,135.82,21.54,24.908,24.908,21.545,52.629,135.823,15.965,7.486,4.203,0.667,1.628,9.231,1.464,3.577,8600.742,6351.181,3.811,1471.33,1086.497,2650
60.31,139.75,36.33,27.224,27.224,36.331,60.311,139.753,16.693,7.954,4.068,1.058,1.756,8.85,2.301,3.819,9088.107,6638.485,5.667,1579.18,1153.525,2700
63.31,162.07,46.27,31.512,31.512,46.268,63.314,162.066,18.689,8.904,4.585,1.309,1.791,9.991,2.852,3.903,9317.351,6736.512,2.522,1622.1,1172.79,2840
60.43,163.7,58.68,32.855,32.855,58.683,60.427,163.704,19.955,9.739,4.87,1.746,1.798,10.348,3.709,3.82,8828.374,6322.297,-5.248,1581.94,1132.881,2670
68.09,160.33,68.31,35.495,35.495,68.306,68.094,160.338,19.448,9.488,4.377,1.865,1.859,9.35,3.984,3.971,9585.078,6809.693,8.571,1714.76,1218.247,3170
70.05,174.92,95.16,38.567,38.567,95.158,70.045,174.935,20.499,10.273,4.514,2.456,1.808,9.415,5.122,3.77,10103.183,7129.11,5.405,1857.98,1311.046,3350
82.1,149.19,113.41,37.282,37.282,113.409,82.106,149.167,19.514,9.676,3.575,2.718,1.968,7.581,5.763,4.172,10837.855,7586.2,7.272,1967.9,1377.476,3550
